encodedTitle,title,url
royal-caribbean-cruises-ltd,ROYAL CARIBBEAN CRUISES LTD.,IID000000002140186
royal-dutch-shell-plc,ROYAL DUTCH SHELL PLC,IID000000002137074
the-royal-bank-of-scotland-group-public-limited-company,THE ROYAL BANK OF SCOTLAND GROUP PUBLIC LIMITED COMPANY,IID000000002181756
prairiesky-royalty-ltd,PRAIRIESKY ROYALTY LTD.,IID000000002695140
banque-royale-du-canada,BANQUE ROYALE DU CANADA,IID000000002128874
hithink-royalflush-information-network-co-ltd,"Hithink RoyalFlush Information Network Co., Ltd.",IID000000002573115
bp-plc,BP P.L.C.,IID000000002140371
aker-bp-asa,AKER BP ASA,IID000000002278140
bank-of-the-philippine-islands,BANK OF THE PHILIPPINE ISLANDS,IID000000002159090
bharat-petroleum-corporation-limited,BHARAT PETROLEUM CORPORATION LIMITED,IID000000002159590
banco-btg-pactual-sa,BANCO BTG PACTUAL S.A.,IID000000002228171
volkswagen-ag,Volkswagen AG,IID000000002140440
glencore-plc,GLENCORE PLC,IID000000002619434
daimler-ag,Daimler AG,IID000000002163566
total-sa,TOTAL SA,IID000000002145155
total-access-communication-public-company-limited,Total Access Communication Public Company Limited,IID000000002187119
exor-nv,EXOR N.V.,IID000000002784170
bayerische-motoren-werke-aktiengesellschaft,Bayerische Motoren Werke Aktiengesellschaft,IID000000002148933
uniper-se,Uniper SE,IID000000002769077
siemens-limited,SIEMENS LIMITED,IID000000002183692
siemens-aktiengesellschaft,Siemens Aktiengesellschaft,IID000000002183691
siemens-healthineers-ag,Siemens Healthineers AG,IID000000002832990
siemens-gamesa-renewable-energy-sa,"Siemens Gamesa Renewable Energy, S.A.",IID000000002151494
deutsche-bank-aktiengesellschaft,DEUTSCHE BANK AKTIENGESELLSCHAFT,IID000000002140460
deutsche-post-ag,Deutsche Post AG,IID000000002163947
deutsche-boerse-aktiengesellschaft,Deutsche Boerse Aktiengesellschaft,IID000000002163944
deutsche-wohnen-se,Deutsche Wohnen SE,IID000000002816597
deutsche-telekom-ag,Deutsche Telekom AG,IID000000002163952
deutsche-lufthansa-aktiengesellschaft,Deutsche Lufthansa Aktiengesellschaft,IID000000002130215
carrefour-sa,CARREFOUR SA,IID000000002124089
enel-spa,ENEL - SPA,IID000000002151160
enel-americas-sa,Enel Americas S.A.,IID000000002152389
enel-chile-sa,Enel Chile S.A.,IID000000002763836
eni-spa,ENI S.P.A.,IID000000002164704
square-enix-holdings-co-ltd,"SQUARE ENIX HOLDINGS CO.,LTD.",IID000000002182288
electricite-de-france-sa,ELECTRICITE DE FRANCE SA,IID000000002142489
tesco-plc,TESCO PLC,IID000000002153923
peugeot-sa,PEUGEOT SA,IID000000002152064
engie-sa,ENGIE S.A.,IID000000002167497
engie-brasil-energia-sa,ENGIE BRASIL ENERGIA S.A.,IID000000002129944
airbus-se,Airbus SE,IID000000002125950
basf-se,BASF SE,IID000000002158653
deutsche-bank-aktiengesellschaft,DEUTSCHE BANK AKTIENGESELLSCHAFT,IID000000002140460
deutsche-post-ag,Deutsche Post AG,IID000000002163947
deutsche-boerse-aktiengesellschaft,Deutsche Boerse Aktiengesellschaft,IID000000002163944
deutsche-wohnen-se,Deutsche Wohnen SE,IID000000002816597
deutsche-telekom-ag,Deutsche Telekom AG,IID000000002163952
deutsche-lufthansa-aktiengesellschaft,Deutsche Lufthansa Aktiengesellschaft,IID000000002130215
koninklijke-philips-nv,Koninklijke Philips N.V.,IID000000002144603
koninklijke-vopak-nv,Koninklijke Vopak N.V.,IID000000002172940
koninklijke-kpn-nv,Koninklijke KPN N.V.,IID000000002172937
koninklijke-dsm-nv,Koninklijke DSM N.V.,IID000000002144233
koninklijke-ahold-delhaize-nv,Koninklijke Ahold Delhaize N.V.,IID000000002172935
renault-sa,RENAULT SA,IID000000002137084
arcelormittal-sa,ArcelorMittal S.A.,IID000000002157753
lvmh-moet-hennessy-louis-vuitton-se,LVMH MOET HENNESSY LOUIS VUITTON SE,IID000000002173360
roche-holding-ag,Roche Holding AG,IID000000002181589
equinor-asa,EQUINOR ASA,IID000000002184880
unilever-plc,UNILEVER PLC,IID000000002137159
unilever-nv,Unilever N.V.,IID000000002187964
hindustan-unilever-limited,HINDUSTAN UNILEVER LIMITED,IID000000002169388
pt-unilever-indonesia-tbk,PT Unilever Indonesia Tbk,IID000000002127132
repsol-sa,Repsol S.A.,IID000000002181334
unilever-plc,UNILEVER PLC,IID000000002137159
unilever-nv,Unilever N.V.,IID000000002187964
hindustan-unilever-limited,HINDUSTAN UNILEVER LIMITED,IID000000002169388
pt-unilever-indonesia-tbk,PT Unilever Indonesia Tbk,IID000000002127132
telefonica-sa,Telefonica S.A.,IID000000002186444
telefonica-brasil-sa,TELEFONICA BRASIL S.A.,IID000000002186431
telefonica-deutschland-holding-ag,Telefonica Deutschland Holding AG,IID000000002654293
novartis-ag,Novartis AG,IID000000002144457
continental-resources-inc,"CONTINENTAL RESOURCES, INC.",IID000000002162852
continental-aktiengesellschaft,Continental Aktiengesellschaft,IID000000002148934
arca-continental-sab-de-cv,"Arca Continental, S.A.B. de C.V.",IID000000002125981
rwe-aktiengesellschaft,RWE Aktiengesellschaft,IID000000002180858
bayer-aktiengesellschaft,Bayer Aktiengesellschaft,IID000000002123944
bayerische-motoren-werke-aktiengesellschaft,Bayerische Motoren Werke Aktiengesellschaft,IID000000002148933
vinci-sa,VINCI S.A.,IID000000002188881
vodafone-group-public-limited-company,VODAFONE GROUP PUBLIC LIMITED COMPANY,IID000000002189051
casino-guichard-perrachon-sa,CASINO GUICHARD-PERRACHON S.A.,IID000000002149002
thyssenkrupp-ag,thyssenkrupp AG,IID000000002186840
orange-sa,ORANGE S.A.,IID000000002133302
orange-polska-spolka-akcyjna,ORANGE POLSKA SPOLKA AKCYJNA,IID000000002186456
orange-life-insurance-ltd,"Orange Life Insurance, Ltd.",IID000000002392573
compagnie-petroliere-imperiale-ltee,COMPAGNIE PETROLIERE IMPERIALE LTEE,IID000000002142955
compagnie-financiere-richemont-sa,COMPAGNIE FINANCIERE RICHEMONT SA,IID000000002162545
compagnie-de-saint-gobain-sa,COMPAGNIE DE SAINT-GOBAIN SA,IID000000002142079
compagnie-generale-des-etablissements-michelin-sca,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SCA,IID000000002127394
compagnie-des-chemins-de-fer-nationaux-du-canada,Compagnie des chemins de fer nationaux du Canada,IID000000002133452
les-compagnies-loblaw-limitee,LES COMPAGNIES LOBLAW LIMITEE,IID000000002173985
rio-tinto-plc,RIO TINTO PLC,IID000000002181514
rio-tinto-limited,RIO TINTO LIMITED,IID000000002141742
riocan-real-estate-investment-trust,RIOCAN REAL ESTATE INVESTMENT TRUST,IID000000002196785
bhp-group-plc,BHP GROUP PLC,IID000000002132259
bhp-group-limited,BHP GROUP LIMITED,IID000000002158721
bouygues-sa,BOUYGUES S.A.,IID000000002140370
acs-actividades-de-construccion-y-servicios-sa,"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.",IID000000002155484
sanofi-sa,SANOFI SA,IID000000002145665
iberdrola-sa,"Iberdrola, S.A.",IID000000002126836
imperial-brands-plc,IMPERIAL BRANDS PLC,IID000000002170324
compagnie-petroliere-imperiale-ltee,COMPAGNIE PETROLIERE IMPERIALE LTEE,IID000000002142955
banque-canadienne-imperiale-de-commerce,BANQUE CANADIENNE IMPERIALE DE COMMERCE,IID000000002160904
fresenius-se-co-kgaa,Fresenius SE & Co. KGaA,IID000000002166989
fresenius-medical-care-ag-co-kgaa,Fresenius Medical Care AG & Co. KGaA,IID000000002132279
glaxosmithkline-plc,GLAXOSMITHKLINE PLC,IID000000002167800
ap-moeller-maersk-a/s,A.P. MOELLER - MAERSK A/S,IID000000002155677
aktiebolaget-volvo,Aktiebolaget Volvo,IID000000002144644
aktiebolaget-skf,Aktiebolaget SKF,IID000000002144268
aktiebolaget-electrolux,Aktiebolaget Electrolux,IID000000002165080
aktiebolaget-industrivarden,Aktiebolaget Industrivarden,IID000000002170530
johnson-johnson,JOHNSON & JOHNSON,IID000000002171982
jacobs-engineering-group-inc,JACOBS ENGINEERING GROUP INC.,IID000000002126222
j-b-hunt-transport-services-inc,"J. B. HUNT TRANSPORT SERVICES, INC.",IID000000002141056
j-sainsbury-plc,J SAINSBURY PLC,IID000000002149768
arthur-j-gallagher-co,ARTHUR J. GALLAGHER & CO.,IID000000002140260
jbs-sa,JBS S.A.,IID000000002171590
jdcom-inc,"JD.COM, INC.",IID000000002695241
the-j-m-smucker-company,THE J. M. SMUCKER COMPANY,IID000000002123695
jefferies-financial-group-inc,JEFFERIES FINANCIAL GROUP INC.,IID000000002173728
jeronimo-martins-sgps-sa,"Jeronimo Martins, SGPS, S.A.",IID000000002127078
centrica-plc,CENTRICA PLC,IID000000002140450
metro-inc,METRO INC.,IID000000002174349
metro-ag,METRO AG,IID000000002812695
metro-pacific-investments-corporation,METRO PACIFIC INVESTMENTS CORPORATION,IID000000002127429
bangkok-expressway-and-metro-public-company-limited,Bangkok Expressway and Metro Public Company Limited,IID000000002140287
momentum-metropolitan-holdings-limited,Momentum Metropolitan Holdings Limited,IID000000002144063
metropolitan-bank-trust-co,METROPOLITAN BANK & TRUST CO.,IID000000002152489
accenture-public-limited-company,ACCENTURE PUBLIC LIMITED COMPANY,IID000000002132055
compass-group-plc,COMPASS GROUP PLC,IID000000002162627
poste-italiane-societa-per-azioni,POSTE ITALIANE - SOCIETA PER AZIONI,IID000000002232880
british-land-company-public-limited-company-the-,BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),IID000000002160173
the-saudi-british-bank-sjsc,The Saudi British Bank SJSC,IID000000002182782
british-american-tobacco-plc,BRITISH AMERICAN TOBACCO P.L.C.,IID000000002160167
associated-british-foods-plc,ASSOCIATED BRITISH FOODS PLC,IID000000002123767
british-american-tobacco-malaysia-berhad,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,IID000000002145886
bt-group-plc,BT GROUP PLC,IID000000002123771
bts-group-holdings-public-company-limited,BTS Group Holdings Public Company Limited,IID000000002146892
btg-hotels-group-co-ltd,"BTG Hotels (Group) Co., Ltd.",IID000000002130096
banco-btg-pactual-sa,BANCO BTG PACTUAL S.A.,IID000000002228171
b2w-companhia-digital,B2W - COMPANHIA DIGITAL,IID000000002158642
johnson-matthey-plc,JOHNSON MATTHEY PLC,IID000000002152061
johnson-controls-international-public-limited-company,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,IID000000002717694
johnson-johnson,JOHNSON & JOHNSON,IID000000002171982
medtronic-public-limited-company,MEDTRONIC PUBLIC LIMITED COMPANY,IID000000002721923
l-oreal-sa,L'OREAL SA,IID000000002173247
crh-public-limited-company,CRH PUBLIC LIMITED COMPANY,IID000000002125650
air-canada,AIR CANADA,IID000000002156469
air-china-limited,Air China Limited,IID000000002148908
sealed-air-corporation,SEALED AIR CORPORATION,IID000000002182988
air-water-inc,AIR WATER INC.,IID000000002141271
airbus-se,Airbus SE,IID000000002125950
air-products-and-chemicals-inc,"AIR PRODUCTS AND CHEMICALS, INC.",IID000000002156475
korean-air-lines-co-ltd,"KOREAN AIR LINES CO.,LTD",IID000000002173014
delta-air-lines-inc,"DELTA AIR LINES, INC.",IID000000002163856
airasia-group-berhad,AIRASIA GROUP BERHAD,IID000000002839018
westinghouse-air-brake-technologies-corporation,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,IID000000002145636
industria-de-diseno-textil-sa,"Industria de Diseno Textil, S.A.",IID000000002135288
recordati-industria-chimica-e-farmaceutica-spa,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.,IID000000002128620
cnh-industrial-nv,CNH Industrial N.V.,IID000000002677609
daelim-industrial-co-ltd,"DAELIM INDUSTRIAL CO.,LTD",IID000000002163524
industrial-bank-co-ltd,"INDUSTRIAL BANK CO.,LTD.",IID000000002126716
industrial-securities-co-ltd,"INDUSTRIAL SECURITIES CO., LTD.",IID000000002251948
foxconn-industrial-internet-co-ltd,Foxconn Industrial Internet Co Ltd,IID000000002840660
shanghai-industrial-holdings-limited,SHANGHAI INDUSTRIAL HOLDINGS LIMITED,IID000000002133088
universal-scientific-industrial-shanghai-co-ltd,"Universal Scientific Industrial (Shanghai) Co., Ltd.",IID000000002636196
saudi-industrial-investment-group-sjsc,Saudi Industrial Investment Group SJSC,IID000000002182790
hochtief-aktiengesellschaft,HOCHTIEF Aktiengesellschaft,IID000000002140423
powszechna-kasa-oszczednosci-bank-polski-spolka-akcyjna,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA,IID000000002128364
polski-koncern-naftowy-orlen-spolka-akcyjna,POLSKI KONCERN NAFTOWY ORLEN SPOLKA AKCYJNA,IID000000002179850
polskie-gornictwo-naftowe-i-gazownictwo-spolka-akcyjna,POLSKIE GORNICTWO NAFTOWE I GAZOWNICTWO SPOLKA AKCYJNA,IID000000002179851
veolia-environnement-sa,VEOLIA ENVIRONNEMENT SA,IID000000002188673
schneider-electric-se,SCHNEIDER ELECTRIC SE,IID000000002182878
lafargeholcim-ltd,LafargeHolcim Ltd,IID000000002143266
danone-sa,DANONE SA,IID000000002168368
sap-se,SAP SE,IID000000002705885
saputo-inc,SAPUTO INC.,IID000000002154657
naturgy-energy-group-sa,"Naturgy Energy Group, S.A.",IID000000002150894
lennox-international-inc,LENNOX INTERNATIONAL INC.,IID000000002151847
fosun-international-limited,FOSUN INTERNATIONAL LIMITED,IID000000002142739
posco-international-corporation,POSCO INTERNATIONAL CORPORATION,IID000000002163537
polymetal-international-plc,POLYMETAL INTERNATIONAL PLC,IID000000002631142
rpm-international-inc,RPM INTERNATIONAL INC.,IID000000002180831
sinochem-international-corporation,Sinochem International Corporation,IID000000002134483
haitian-international-holdings-limited,HAITIAN INTERNATIONAL HOLDINGS LIMITED,IID000000002149340
shenzhen-international-holdings-limited,SHENZHEN INTERNATIONAL HOLDINGS LIMITED,IID000000002148753
airtac-international-group,AIRTAC INTERNATIONAL GROUP,IID000000002606628
minor-international-public-company-limited,Minor International Public Company Limited,IID000000002146742
abb-ltd,ABB Ltd,IID000000002123744
abbvie-inc,ABBVIE INC.,IID000000002655130
abbott-laboratories,ABBOTT LABORATORIES,IID000000002155916
compagnie-petroliere-imperiale-ltee,COMPAGNIE PETROLIERE IMPERIALE LTEE,IID000000002142955
compagnie-financiere-richemont-sa,COMPAGNIE FINANCIERE RICHEMONT SA,IID000000002162545
compagnie-de-saint-gobain-sa,COMPAGNIE DE SAINT-GOBAIN SA,IID000000002142079
compagnie-generale-des-etablissements-michelin-sca,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SCA,IID000000002127394
compagnie-des-chemins-de-fer-nationaux-du-canada,Compagnie des chemins de fer nationaux du Canada,IID000000002133452
les-compagnies-loblaw-limitee,LES COMPAGNIES LOBLAW LIMITEE,IID000000002173985
anglo-american-plc,ANGLO AMERICAN PLC,IID000000002123931
anglo-american-platinum-limited,Anglo American Platinum Limited,IID000000002148995
anglogold-ashanti-ltd,ANGLOGOLD ASHANTI LTD,IID000000002133189
adecco-group-ag,Adecco Group AG,IID000000002140405
randstad-nv,Randstad N.V.,IID000000002144864
omv-aktiengesellschaft,OMV Aktiengesellschaft,IID000000002127907
bollore-se,BOLLORE SE,IID000000002159897
intact-corporation-financiere,Intact Corporation financiere,IID000000002142974
ia-societe-financiere-inc,iA Societe Financiere Inc.,IID000000002935272
corporation-financiere-power,CORPORATION FINANCIERE POWER,IID000000002179965
compagnie-financiere-richemont-sa,COMPAGNIE FINANCIERE RICHEMONT SA,IID000000002162545
societe-financiere-igm-inc,SOCIETE FINANCIERE IGM INC.,IID000000002142973
nokia-oyj,Nokia Oyj,IID000000002123955
